artist,album,title,track_number,release_year,label,duration_seconds,genre,source_url,raw_payload_json,source_record_id
Glass District feat. Mira Vale,Transit Lines,Neon Transfer,3,2020,Metro Fictional,242,Electronic,https://example.invalid/fixture/lf-010,"{""recording_gid"":""rec-neon-transfer"",""release_gid"":""rel-transit-lines"",""fixture_cohort"":""featured_artist""}",lf-010
Glass District ft. Mira Vale,Transit Lines,Neon Transfer,3,2020,Metro Fictional,242,Electronic,https://example.invalid/fixture/lf-011,"{""recording_gid"":""rec-neon-transfer"",""release_gid"":""rel-transit-lines-alt"",""fixture_cohort"":""featured_artist_alias""}",lf-011
Paper Crown,Small Machines,Clockwork Garden,1,2019,Workshop Archive,196,Folk,https://example.invalid/fixture/lf-012,"{""recording_gid"":""rec-clockwork-garden"",""release_gid"":""rel-small-machines"",""fixture_cohort"":""clean""}",lf-012
Paper Crown featuring Sol June,Small Machines,Clockwork Garden,1,2019,Workshop Archive,196,Folk,https://example.invalid/fixture/lf-013,"{""recording_gid"":""rec-clockwork-garden-feature"",""release_gid"":""rel-small-machines-feature"",""fixture_cohort"":""featured_artist""}",lf-013
Paper Crown with Sol June,Small Machines,Threaded Sky,2,2019,Workshop Archive,203,Folk,https://example.invalid/fixture/lf-014,"{""recording_gid"":""rec-threaded-sky"",""release_gid"":""rel-small-machines"",""fixture_cohort"":""collaboration_with""}",lf-014
Paper Crown x Sol June,Small Machines,Threaded Sky,2,2019,Workshop Archive,203,Folk,https://example.invalid/fixture/lf-015,"{""recording_gid"":""rec-threaded-sky"",""release_gid"":""rel-small-machines-collab"",""fixture_cohort"":""x_collaboration""}",lf-015
Paper Crown & Sol June,Small Machines,Threaded Sky,2,2019,Workshop Archive,203,Folk,https://example.invalid/fixture/lf-016,"{""recording_gid"":""rec-threaded-sky"",""release_gid"":""rel-small-machines-amp"",""fixture_cohort"":""ampersand_collaboration""}",lf-016
Paper Crown, Sol June,Small Machines,Threaded Sky,2,2019,Workshop Archive,203,Folk,https://example.invalid/fixture/lf-017,"{""recording_gid"":""rec-threaded-sky"",""release_gid"":""rel-small-machines-comma"",""fixture_cohort"":""comma_collaboration""}",lf-017
Lake Signal,Rooms Without Walls,North Window,1,2018,Roomtone Labs,176,Ambient,https://example.invalid/fixture/lf-018,"{""recording_gid"":""rec-north-window"",""release_gid"":""rel-rooms-without-walls"",""fixture_cohort"":""clean""}",lf-018
Lake Signal,Rooms Without Walls (Anniversary Edition),North Window,1,2023,Roomtone Labs,176,Ambient,https://example.invalid/fixture/lf-019,"{""recording_gid"":""rec-north-window"",""release_gid"":""rel-rooms-anniversary"",""fixture_cohort"":""edition_or_reissue""}",lf-019
Lake Signal,Rooms Without Walls,North Window,1,2018,Roomtone Labs,176,Ambient,https://example.invalid/fixture/lf-020,"{""recording_gid"":""rec-north-window"",""release_gid"":""rel-rooms-without-walls"",""fixture_cohort"":""possible_true_duplicate""}",lf-020
Lake Signal,Open Archive Collection,North Window,9,2024,Roomtone Labs,176,Ambient,https://example.invalid/fixture/lf-021,"{""recording_gid"":""rec-north-window"",""release_gid"":""rel-open-archive-collection"",""fixture_cohort"":""compilation""}",lf-021
The Lanterns and the Roadburners,Field Notes,Long Turn,1,2017,Backroad Fictional,221,Rock,https://example.invalid/fixture/lf-022,"{""recording_gid"":""rec-long-turn"",""release_gid"":""rel-field-notes"",""fixture_cohort"":""ambiguous_group_name""}",lf-022
The Lanterns & The Roadburners,Field Notes,Long Turn,1,2017,Backroad Fictional,221,Rock,https://example.invalid/fixture/lf-023,"{""recording_gid"":""rec-long-turn"",""release_gid"":""rel-field-notes-alt"",""fixture_cohort"":""ambiguous_group_name""}",lf-023
Field Notes,Sketchbook,The Lanterns,3,2017,Backroad Fictional,199,Rock,https://example.invalid/fixture/lf-024,"{""recording_gid"":""rec-the-lanterns"",""release_gid"":""rel-sketchbook"",""fixture_cohort"":""possible_album_as_artist""}",lf-024
Sketchbook,Sketchbook,Field Notes,4,2017,Backroad Fictional,204,Rock,https://example.invalid/fixture/lf-025,"{""recording_gid"":""rec-field-notes"",""release_gid"":""rel-sketchbook"",""fixture_cohort"":""possible_track_as_artist""}",lf-025
Aurora Index,Safe Distances,Minute Hand,1,2022,Index House,210,Synth,https://example.invalid/fixture/lf-026,"{""recording_gid"":""rec-minute-hand"",""release_gid"":""rel-safe-distances"",""fixture_cohort"":""clean""}",lf-026
Aurora Index,Safe Distances,Minute Hand,1,2022,Index House,210,Synth,https://example.invalid/fixture/lf-027,"{""recording_gid"":""rec-minute-hand"",""release_gid"":""rel-safe-distances"",""fixture_cohort"":""possible_true_duplicate""}",lf-027
Aurora Index,Safe Distances: Expanded Edition,Minute Hand,1,2024,Index House,210,Synth,https://example.invalid/fixture/lf-028,"{""recording_gid"":""rec-minute-hand"",""release_gid"":""rel-safe-distances-expanded"",""fixture_cohort"":""edition_or_reissue""}",lf-028
Aurora Index,Signal Sampler,Minute Hand,12,2024,Index House,210,Synth,https://example.invalid/fixture/lf-029,"{""recording_gid"":""rec-minute-hand"",""release_gid"":""rel-signal-sampler"",""fixture_cohort"":""compilation""}",lf-029
Cinder Maps,City Sleep,Overpass,1,2016,Map Room,232,Alternative,https://example.invalid/fixture/lf-030,"{""recording_gid"":""rec-overpass-a"",""release_gid"":""rel-city-sleep"",""fixture_cohort"":""clean""}",lf-030
Cinder Maps,City Sleep,Overpass,1,2016,Map Room,255,Alternative,https://example.invalid/fixture/lf-031,"{""release_gid"":""rel-city-sleep-weak"",""fixture_cohort"":""ambiguous_duration_without_recording""}",lf-031
Cinder Maps,City-Sleep,Overpass,1,2016,Map Room,232,Alternative,https://example.invalid/fixture/lf-032,"{""fixture_cohort"":""punctuation_and_weak_identity""}",lf-032
Cinder Maps,City Sleep,Overpass - Live Version,1,2020,Map Room,286,Alternative,https://example.invalid/fixture/lf-033,"{""recording_gid"":""rec-overpass-live"",""release_gid"":""rel-city-sleep-live"",""fixture_cohort"":""version_noise""}",lf-033
River Decimal,Calibration Songs,Zero Point,1,2015,Decimal Works,166,Experimental,https://example.invalid/fixture/lf-034,"{""recording_gid"":""rec-zero-point"",""release_gid"":""rel-calibration-songs"",""fixture_cohort"":""clean""}",lf-034
River Decimal,Calibration Songs,Zero Point (Explicit),1,2015,Decimal Works,166,Experimental,https://example.invalid/fixture/lf-035,"{""recording_gid"":""rec-zero-point-explicit"",""release_gid"":""rel-calibration-songs-explicit"",""fixture_cohort"":""explicit_edit""}",lf-035
River Decimal,Calibration Songs,Zero Point (Edited Version),1,2015,Decimal Works,166,Experimental,https://example.invalid/fixture/lf-036,"{""recording_gid"":""rec-zero-point-edited"",""release_gid"":""rel-calibration-songs-edited"",""fixture_cohort"":""edited_version""}",lf-036
River Decimal,Calibration-Songs,Zero Point,1,2015,Decimal Works,166,Experimental,https://example.invalid/fixture/lf-037,"{""recording_gid"":""rec-zero-point"",""release_gid"":""rel-calibration-songs-punct"",""fixture_cohort"":""punctuation_variant""}",lf-037
Echo Ladder,Line Tests,Signal Return,1,2022,Uploader Channel,198,Pop,https://example.invalid/fixture/lf-038,"{""recording_gid"":""rec-signal-return"",""release_gid"":""rel-line-tests"",""fixture_cohort"":""source_artifact_label""}",lf-038
Echo Ladder Topic,Line Tests,Signal Return,1,2022,Fixture Topic,198,Pop,https://example.invalid/fixture/lf-039,"{""recording_gid"":""rec-signal-return-topic"",""release_gid"":""rel-line-tests-topic"",""fixture_cohort"":""source_artifact_artist""}",lf-039
Echo Ladder,Official Audio Uploads,Signal Return,1,2022,Fixture Topic,198,Pop,https://example.invalid/fixture/lf-040,"{""recording_gid"":""rec-signal-return-official"",""release_gid"":""rel-official-audio-uploads"",""fixture_cohort"":""official_audio_noise""}",lf-040
Echo Ladder,Line Tests,Signal Return Official Video,1,2022,Fixture Topic,198,Pop,https://example.invalid/fixture/lf-041,"{""recording_gid"":""rec-signal-return-video"",""release_gid"":""rel-line-tests-video"",""fixture_cohort"":""official_video_noise""}",lf-041
Kite Museum,Daylight Index,Paper Weather,1,2021,Museum Floor,244,Indie,https://example.invalid/fixture/lf-042,"{""recording_gid"":""rec-paper-weather"",""release_gid"":""rel-daylight-index"",""fixture_cohort"":""clean""}",lf-042
Kite Museum,Daylight Index,Paper Weather,1,2021,Museum Floor,244,Indie,https://example.invalid/fixture/lf-043,"{""recording_gid"":""rec-paper-weather"",""release_gid"":""rel-daylight-index"",""fixture_cohort"":""duplicate_identity""}",lf-043
Kite Museum,Daylight Index,Paper Weather,1,2021,Museum Floor,244,Indie,https://example.invalid/fixture/lf-044,"{""recording_gid"":""rec-paper-weather"",""release_gid"":""rel-daylight-index"",""fixture_cohort"":""duplicate_identity""}",lf-044
Kite Museum,Daylight Index,Paper Weather (Single Version),1,2021,Museum Floor,238,Indie,https://example.invalid/fixture/lf-045,"{""recording_gid"":""rec-paper-weather-single"",""release_gid"":""rel-daylight-index-single"",""fixture_cohort"":""single_version""}",lf-045
Orbit Classroom,Practice Rings,Chalk Orbit,1,2020,Classroom Editions,179,Electronic,https://example.invalid/fixture/lf-046,"{""recording_gid"":""rec-chalk-orbit"",""release_gid"":""rel-practice-rings"",""fixture_cohort"":""clean""}",lf-046
Orbit Classroom vs. Desk Signal,Practice Rings,Chalk Orbit,1,2020,Classroom Editions,179,Electronic,https://example.invalid/fixture/lf-047,"{""recording_gid"":""rec-chalk-orbit-vs"",""release_gid"":""rel-practice-rings-vs"",""fixture_cohort"":""versus_collaboration""}",lf-047
Orbit Classroom / Desk Signal,Practice Rings,Chalk Orbit,1,2020,Classroom Editions,179,Electronic,https://example.invalid/fixture/lf-048,"{""recording_gid"":""rec-chalk-orbit-slash"",""release_gid"":""rel-practice-rings-slash"",""fixture_cohort"":""slash_collaboration""}",lf-048
Desk Signal,Practice Rings,Chalk Orbit feat. Orbit Classroom,1,2020,Classroom Editions,179,Electronic,https://example.invalid/fixture/lf-049,"{""recording_gid"":""rec-chalk-orbit-title-feat"",""release_gid"":""rel-practice-rings-title-feat"",""fixture_cohort"":""title_feature_string""}",lf-049
Quiet Geometry,Soft Corners,Arc Measure,1,2014,Geometry House,205,Ambient,https://example.invalid/fixture/lf-050,"{""recording_gid"":""rec-arc-measure"",""release_gid"":""rel-soft-corners"",""fixture_cohort"":""clean""}",lf-050
Quiet Geometry,Soft Corners,Arc Measure,1,2014,Geometry House,205,Ambient,https://example.invalid/fixture/lf-051,"{""recording_gid"":""rec-arc-measure"",""release_gid"":""rel-soft-corners-alt"",""fixture_cohort"":""legitimate_release_appearance""}",lf-051
Quiet Geometry,Collected Quiet Works,Arc Measure,8,2024,Geometry House,205,Ambient,https://example.invalid/fixture/lf-052,"{""recording_gid"":""rec-arc-measure"",""release_gid"":""rel-collected-quiet-works"",""fixture_cohort"":""compilation""}",lf-052
Quiet Geometry,Soft Corners Remastered,Arc Measure,1,2024,Geometry House,205,Ambient,https://example.invalid/fixture/lf-053,"{""recording_gid"":""rec-arc-measure"",""release_gid"":""rel-soft-corners-remastered"",""fixture_cohort"":""remaster""}",lf-053
Tide Assembly,Low Bridges,Harbor Count,1,2013,Assembly Line,212,Folk,https://example.invalid/fixture/lf-054,"{""recording_gid"":""rec-harbor-count"",""release_gid"":""rel-low-bridges"",""fixture_cohort"":""clean""}",lf-054
Tide Assembly,Low-Bridges,Harbor Count,1,2013,Assembly Line,212,Folk,https://example.invalid/fixture/lf-055,"{""recording_gid"":""rec-harbor-count"",""release_gid"":""rel-low-bridges-punct"",""fixture_cohort"":""punctuation_variant""}",lf-055
TIDE ASSEMBLY,Low Bridges,Harbor Count,1,2013,Assembly Line,212,Folk,https://example.invalid/fixture/lf-056,"{""recording_gid"":""rec-harbor-count"",""release_gid"":""rel-low-bridges-case"",""fixture_cohort"":""casing_variant""}",lf-056
Tide Assembly,Low Bridges,Harbor Count - Bonus Track,1,2013,Assembly Line,212,Folk,https://example.invalid/fixture/lf-057,"{""recording_gid"":""rec-harbor-count-bonus"",""release_gid"":""rel-low-bridges-bonus"",""fixture_cohort"":""bonus_track_noise""}",lf-057
,Instrument Cards,Untitled Index,1,2020,Fixture Cards,120,Instrumental,https://example.invalid/fixture/lf-058,"{""fixture_cohort"":""missing_artist_sparse""}",lf-058
Spare Marker,,Only Title,1,2020,Fixture Cards,111,Instrumental,https://example.invalid/fixture/lf-059,"{""fixture_cohort"":""missing_album_sparse""}",lf-059
Loose Label,,,1,2020,Fixture Cards,99,Instrumental,https://example.invalid/fixture/lf-060,"{""fixture_cohort"":""missing_album_title_sparse""}",lf-060
,,,1,2020,Fixture Cards,99,Instrumental,https://example.invalid/fixture/lf-reject-001,"{""fixture_cohort"":""rejected_blank_identity""}",lf-reject-001
Malformed Year Artist,Malformed Set,Year Trouble,1,twenty,Fixture Cards,99,Instrumental,https://example.invalid/fixture/lf-reject-002,"{""fixture_cohort"":""rejected_bad_year""}",lf-reject-002
Malformed Duration Artist,Malformed Set,Duration Trouble,1,2020,Fixture Cards,not-a-duration,Instrumental,https://example.invalid/fixture/lf-reject-003,"{""fixture_cohort"":""rejected_bad_duration""}",lf-reject-003
Malformed Payload Artist,Malformed Set,Payload Trouble,1,2020,Fixture Cards,99,Instrumental,https://example.invalid/fixture/lf-reject-004,{bad json,lf-reject-004
